1715753146855:what are the non technical subjects in this course?
1715758297892:help
1715758361040:q
1715758365188:q:
1715758966620:help
1715759002085:q: what are the non technical subjects in the course?
1715759021039:q what are the non technical subjects in the course?
1715759053021:q is machine learning module available?
1715759074168:can you refer the document given?
1715759085011:q can you refer the document given
1715759126692:q
1715759133441:q hi
1715759173645:q do you know about computer engineering degree programme in jaffna university?
1715759303979:q "do you know about computer engineering degree programme in jaffna university?"
1715759363759:q "what are the non technical elective subjects offered?"
1715759407730:q "can you tell me something about the machine learning module of this course?"
1715759539276:q "can you tell me about machine learning module?"
1715759858496:q "what is in this document?"
1715760175870:q "what are the course modules in semester 4?"
1715760209286:q "provided"
1715760248599:q "go"
1715761204435:q "what is this degree programme?"
1715761479052:q "what are the intended learning outcomes of Computer and Data Networks module?"
